AF.01.1109,Shighnan District__Shighnan District
AF.06.2110,Shayb Koh__Shayb Kōh
AF.07.1811,Khan-e Chahar Bagh__Khān-e Chahār Bāgh
AF.07.1803,Almar__Almār
AF.07.1812,Andkhoy__Andkhōy
AF.07.1806,Bal Chiragh__Bal Chirāgh
AF.07.1809,Dowlatabad__Dowlatābād
AF.07.1807,Gurziwan__Gurzīwān
AF.07.1813,Khwajah Sabz Posh__Khwājah Sabz Pōsh
AF.07.1805,Kohistan__Kōhistān
AF.07.1801,Maimanah__Maīmanah
AF.07.1802,Pashtun Kot__Pas̲h̲tūn Kōṯ
AF.07.1804,Qaisar__Qaīşār
AF.07.1810,Qaram Qol__Qaram Qōl
AF.07.1814,Qurghan__Qurghān
AF.07.1808,Shirin Tagab__Shīrīn Tagāb
AF.08.611,Ab Band__Āb Band
AF.08.605,Ajristan__Ajristān
AF.08.614,Andar__Andaṟ
AF.08.602,Bahram-e Shahid__Bahrām-e Shahīd
AF.08.615,Deh Yak__Deh Yak
AF.08.601,Ghazni__Ghaznī
AF.08.612,Giro__Gīrō
AF.08.607,Jaghuri__Jāghūrī
AF.08.603,Khwajah 'Omari__Khwājah ‘Omarī
AF.08.606,Malistan__Mālistān
AF.08.608,Muqer__Muqêr
AF.08.610,Nawah__Nāwah
AF.08.604,Nawur__Nāwur
AF.08.613,Qarah Bagh__Qarah Bāgh
AF.08.617,Rashidan__Rashīdān
AF.08.618,Waghaz__Wāghaz̧
AF.08.619,Wali Muhammad Shahid Khugyani__Walī Muḩammad Shahīd Khūgyāṉī
AF.08.616,Zanakhan__Zanakhān
AF.09.2701,Chaghcharan__Chaghcharān
AF.09.2708,Chahar Sadah__Chahār Şadah
AF.09.2710,Du Lainah__Dū Laīnah
AF.09.2709,Dowlatyar__Dowlatyār
AF.09.2707,La'l wa Sar Jangal__La‘l wa Sar Jangal
AF.09.2706,Pasaband__Pasāband
AF.09.2704,Saghar__Sāghar
AF.09.2702,Shahrak__Shahrak
AF.09.2705,Taywarah__Taywarah
AF.09.2703,Tulak__Tūlak
AF.10.2305,Baghran__Bāghrān
AF.10.2310,Dishu__Dīshū
AF.10.2303,Kajaki__Kajakī
AF.10.2301,Lashkar Gah__Lashkar Gāh
AF.10.2304,Musa Qal'ah__Mūsá Qal‘ah
AF.10.2308,Nad 'Ali__Nād ‘Alī
AF.10.2302,Nahr-e Saraj__Nahr-e Sarāj
AF.10.2309,Nawah-ye Barakzai__Nāwah-ye Bārakzaī
AF.10.2313,Reg-e Khan Neshin__Rēg-e Khān Neshīn
AF.10.2312,Sangin__Sangīn
AF.10.2307,Washer__Wāshēr
AF.11.2011,Adraskan__Adraskan
AF.11.2015,Chisht-e Sharif__Chisht-e Sharīf
AF.11.2013,Farsi__Farsī
AF.11.2009,Ghoriyan__Ghōriyān
AF.11.2007,Gulran__Gulrān
AF.11.2002,Injil__Injīl
AF.11.2005,Karukh__Karukh
AF.11.2008,Kuhsan__Kuhsān
AF.11.2006,Kushk__Kushk
AF.11.2016,Kushk-e Kuhnah__Kushk-e Kuhnah
AF.11.2003,Guzarah__Guz̄arah
AF.11.2012,Obeh__Ōbêh
AF.11.2004,Pashtun Zarghun__Pas̲h̲tūn Zarghūn
AF.11.2014,Shindand__Shīnḏanḏ
AF.11.2010,Zindah Jan__Zindah Jān
AF.13.110,Bagrami__Bagrāmī
AF.13.109,Chahar Asyab__Chahār Āsyāb
AF.13.102,Deh-e Sabz__Deh-e Sabz
AF.13.115,Farzah__Farzah
AF.13.113,Gul Darah__Gul Darah
AF.13.106,Istalif__Istālif
AF.13.104,Kalakan__Kalakān
AF.13.111,Khak-e Jabar__Khāk-e Jabār
AF.13.103,Mir Bachah Kot__Mīr Bachah Kōṯ
AF.13.114,Musahi__Mūsahī
AF.13.108,Paghman__Paghmān
AF.13.105,Qarah Bagh__Qarah Bāgh
AF.13.107,Shakar Darah__Shakar Darah
AF.14.206,Alah Say__Alah Sāy
AF.14.202,Hisah-ye Awal-e Kohistan__Ḩişah-ye Awal-e Kōhistān
AF.14.207,Hisah-ye Duwum-e Kohistan__Ḩişah-ye Duwum-e Kōhistān
AF.14.203,Koh Band__Kōh Band
AF.14.201,Mahmud-e Raqi__Maḩmūd-e Rāqī
AF.14.204,Nijrab__Nijrāb
AF.14.205,Tagab__Tagāb
AF.23.2403,Shah Wali Kot__Shāh Walī Kōṯ
AF.17.506,Azrah__Azrah
AF.17.503,Baraki Barak__Barakī Barak
AF.17.502,Charkh__Charkh
AF.17.507,Kharwar__Kharwār
AF.17.504,Khoshi__Khōshī
AF.17.505,Muhammad Aghah__Muḩammad Āghah
AF.17.501,Pul-e 'Alam__Pul-e ‘Alam
AF.18.810,Achin__Achīn
AF.18.817,Bati Kot__Batī Kōṯ
AF.18.821,Bihsud__Bihsūd
AF.18.806,Chaparhar__Chaparhār
AF.18.820,Darah-ye Nur__Darah-ye Nūr
AF.18.808,Deh Bala__Deh Bālā
AF.18.812,Dur Baba__Dur Bābā
AF.18.816,Goshtah__Gōshtah
AF.18.803,Hisarak__Ḩişārak
AF.18.801,Jalalabad__Jalālābād
AF.18.818,Kamah__Kāmah
AF.18.805,Khugyani__Khūgyāṉī
AF.18.822,Kot__Kōṯ
AF.18.819,Kuz Kunar__Kūz Kunaṟ
AF.18.815,La'lpur__La‘lpūr
AF.18.814,Mohmand Darah__Mohmand Darah
AF.18.811,Naziyan__Nāziyān
AF.18.807,Pachir wa Agam__Pachīr wa Āgām
AF.18.809,Rodat__Rōdāt
AF.18.804,Sherzad__Shērzād
AF.18.813,Shinwar__Shīnwār
AF.18.802,Surkh Rod__Surkh Rōd
AF.19.2203,Chahar Burjak__Chahār Burjak
AF.19.2202,Kang__Kang
AF.19.2205,Khash Rod__Khāsh Rōd
AF.19.2201,Zaranj__Zaranj
AF.23.2404,Arghandab__Arghandāb
AF.23.2412,Arghistan__Arghistān
AF.23.2402,Daman__Dāmān
AF.23.2406,Ghorak__Ghōrak
AF.23.2405,Khakrez__Khākrēz
AF.23.2413,Ma'ruf__Ma‘rūf
AF.23.2407,Maywand__Maywand
AF.23.2414,Mya Neshin__Myā Neshīn
AF.23.2415,Nesh__Nēsh
AF.23.2408,Panjwa'i__Panjwā’ī
AF.23.2409,Registan__Rēgistān
AF.23.2410,Shorabak__Shōrābak
AF.23.2411,Spin Boldak__Spīn Bōldak
AF.23.2416,Zharey__Zhaṟêy
AF.24.1405,'Aliabad__‘Alīābād
AF.24.1407,Dasht-e Archi__Dasht-e Archī
AF.24.1402,Imam Sahib__Imām Şāḩib
AF.24.1406,Khanabad__Khānābād
AF.24.1403,Qal'ah-ye Zal__Qal‘ah-ye Zāl
AF.26.1213,Baharak__Bahārak
AF.26.1202,Bangi__Bangī
AF.26.1209,Chah Ab__Chāh Āb
AF.26.1204,Chal__Chāl
AF.26.1211,Darqad__Darqad
AF.26.1214,Dasht-e Qal'ah__Dasht-e Qal‘ah
AF.26.1206,Farkhar__Farkhār
AF.26.1215,Hazar Sumuch__Hazār Sumūch
AF.26.1203,Ishkamish__Ishkamish
AF.26.1207,Kalafgan__Kalafgān
AF.26.1216,Khwajah Bahawuddin__Khwājah Bahāwuddīn
AF.26.1212,Khwajah Ghar__Khwājah Ghār
AF.26.1217,Namak Ab__Namak Āb
AF.26.1208,Rustaq__Rustāq
AF.26.1201,Taluqan__Tāluqān
AF.26.1205,Warsaj__Warsaj
AF.26.1210,Yangi Qal'ah__Yangī Qal‘ah
AF.27.406,Chak-e Wardak__Chak-e Wardak
AF.27.403,Hisah-ye Awal-e Bihsud__Ḩişah-ye Awal-e Bihsūd
AF.27.409,Jaghatu__Jaghatū
AF.27.402,Jalrayz__Jalrayz
AF.27.401,Maidan Shahr__Maīdān Shahr
AF.27.407,Sayyidabad__Sayyidābād
AF.28.2503,Arghandab__Arghandāb
AF.28.2508,Atghar__Aṯghar
AF.28.2504,Daychopan__Dāychōpān
AF.28.2510,Kakar__Kākar
AF.28.2505,Mizan__Mīzān
AF.28.2511,Now Bahar__Now Bahār
AF.28.2502,Shah Joy__Shāh Jōy
AF.28.2509,Shamulzai__Shamulzaī
AF.28.2507,Shinkai__Shīnkaī
AF.28.2506,Tarnek wa Jaldak__Tarnêk wa Jaldak
AF.29.2909,Bermal__Bêrmal
AF.29.2903,Dilah__Ḏīlah
AF.29.2910,Giyan__Giyān
AF.29.2906,Gomal__Gōmal
AF.29.2916,Jani Khel__Jānī Khēl
AF.29.2915,Muta Khan__Mutā Khān
AF.29.2913,Nikeh__Nīkêh
AF.29.2907,Omnah__Ōmnah
AF.29.2911,Urgun District__Urgun District
AF.29.2914,Sar Rowzah__Sar Rowẕah
AF.29.2908,Sarobi__Saṟōbī
AF.29.2901,Sharan__Sharan
AF.29.2917,Terwo__Têrwō
AF.29.2904,Wazah Khwah__Wāzah Khwāh
AF.29.2905,Wur Mamay__Wuṟ Mamay
AF.29.2918,Yahya Khel__Yaḩyá Khēl
AF.29.2919,Yosuf Khel__Yōsuf Khēl
AF.29.2902,Zarghun Shahr__Zarghūn Shahr
AF.29.2912,Ziruk__Zīṟūk
AF.30.1607,Chahar Bolak__Chahār Bōlak
AF.30.1611,Chahar Kent__Chahār Kent
AF.30.1608,Chimtal__Chimtāl
AF.30.1612,Dehdadi__Dehdādī
AF.30.1605,Dowlatabad__Dowlatābād
AF.30.1613,Kaldar__Kaldār
AF.30.1614,Khulm__Khulm
AF.30.1610,Kishindeh__Kishindeh
AF.30.1615,Marmul__Mārmul
AF.30.1604,Shor Tepah__Shōr Tepah
AF.30.1603,Zari__Zārī
AF.31.1706,Aqchah__Āqchah
AF.31.1703,Darzab__Darzāb
AF.31.1708,Faizabad__Faīẕābād
AF.31.1709,Khamyab__Khamyāb
AF.31.1710,Khanaqah__Khānaqāh
AF.31.1702,Khwajah Du Koh__Khwājah Dū Kōh
AF.31.1707,Mardian__Mardīān
AF.31.1704,Mingajik__Mingajik
AF.31.1705,Qarqin__Qarqīn
AF.31.1711,Qush Tepah__Qūsh Tepah
AF.31.1701,Shibirghan__Shibirghān
AF.32.1501,Aibak__Aībak
AF.32.1503,Darah-ye Suf-e Bala__Darah-ye Şūf-e Bālā
AF.32.1504,Darah-ye Suf-e Pa'in__Darah-ye Şūf-e Pā’īn
AF.32.1507,Fayroz Nakhchir__Fayrōz Nakhchīr
AF.32.1502,Hazrat-e Sultan__Ḩaẕrat-e Sulţān
AF.32.1506,Khuram wa Sar Bagh__Khuram wa Sār Bāgh
AF.32.1505,Ruy Duab__Rūy Dūāb
AF.33.3104,Balkhab__Balkhāb
AF.33.3107,Gosfandi__Gōsfandī
AF.33.3103,Kohistanat__Kōhistānāt
AF.33.3102,Sangcharak__Sangchārak
AF.33.3101,Sar-e Pul__Sar-e Pul
AF.33.3106,Sayad__Şayād
AF.33.3105,Sozmah Qal'ah__Sōzmah Qal‘ah
AF.34.1001,Asadabad__Asadābād
AF.34.1003,Bar Kunar__Bar Kunaṟ
AF.34.1009,Chapah Darah__Chapah Darah
AF.34.1012,Tsowkey__Tsowkêy
AF.34.1004,Dangam__Dāngām
AF.34.1010,Darah-ye Pech__Darah-ye Pēch
AF.34.1006,Ghaziabad__Ghāzīābād
AF.34.1014,Khas Kunar__Khāş Kunaṟ
AF.34.1002,Marawarah__Marawarah
AF.34.1011,Narang__Narang
AF.34.1005,Naray__Nāṟay
AF.34.1013,Nurgal__Nūrgal
AF.34.1007,Shigal wa Sheltan__Shīgal wa Shêltan
AF.34.1008,Wutahpur__Wuṯahpūr
AF.35.903,'Alingar__‘Alīngār
AF.35.905,'Alisheng__‘Alīsheng
AF.35.904,Dowlat Shah__Dowlat Shāh
AF.35.901,Mehtar Lam__Mehtar Lām
AF.35.902,Qarghah'i__Qarghah’ī
AF.36.705,Ahmadabad__Aḩmadābād
AF.36.708,Tsamkani__Tsamkanī
AF.36.707,Dand Patan__Ḏanḏ Paṯān
AF.36.701,Gardez__Gardez
AF.36.711,Jaji__Jājī
AF.36.706,Jani Khel__Jānī Khēl
AF.36.709,Lajah Ahmad Khel__Lajah Aḩmad Khēl
AF.36.710,Sayyid Karam__Sayyid Karam
AF.36.703,Shwak__Shwāk
AF.36.704,Dzadran__Dzadrān
AF.36.702,Zurmat__Zurmat
AF.37.3210,Bak__Bāk
AF.37.3211,Gurbuz__Gurbuz
AF.37.3202,Jaji Maidan__Jājī Maīdān
AF.37.3201,Khost__Khōst
AF.37.3206,Manduzai__Mandūzaī
AF.37.3205,Musa Khel__Mūsá Khēl
AF.37.3208,Nadir Shah Kot__Nādir Shāh Kōṯ
AF.37.3212,Qalandar__Qalandar
AF.37.3209,Sabari__Şabarī
AF.37.3213,Shamul__Shamul
AF.37.3204,Sperah__Spērah
AF.37.3207,Terayzai__Têrayzaī
AF.38.3005,Barg-e Matal__Barg-e Matāl
AF.38.3007,Du Ab__Dū Āb
AF.38.3002,Kamdesh__Kāmdēsh
AF.38.3004,Mandol__Mandōl
AF.38.3008,Nurgaram__Nūrgarām
AF.38.3001,Parun__Pārūn
AF.38.3006,Wama__Wāmā
AF.38.3003,Waygal__Wāygal
AF.39.2602,Chorah__Chōrah
AF.39.2605,Deh Rawud__Deh Rāwud
AF.39.2603,Khas Uruzgan__Khāş Uruzgān
AF.39.2604,Shahid-e Hasas__Shahīd-e Ḩasās
AF.39.2601,Tarin Kot__Tarīn Kōṯ
AF.40.308,Bagram__Bagrām
AF.40.301,Charikar__Chārīkār
AF.40.302,Jabal us Saraj__Jabal us Sarāj
AF.40.309,Koh-e Safi__Kōh-e Şāfī
AF.40.303,Salang__Sālang
AF.40.310,Sayyid Khel__Sayyid Khēl
AF.40.306,Shaykh 'Ali__Shaykh ‘Alī
AF.40.304,Shinwari__Shīnwārī
AF.40.305,Siyahgird Ghorband__Siyāhgird Ghōrband
AF.41.3406,Gayti__Gaytī
AF.41.3402,Gizab__Gīzāb
AF.41.3403,Ishtarlay__Ishtarlay
AF.41.3404,Kajran__Kajrān
AF.41.3405,Khadir__Khadīr
AF.41.3407,Mir Amor__Mīr Āmōr
AF.41.3401,Nili__Nīlī
AF.41.3408,Sang-e Takht__Sang-e Takht
AF.41.3409,Shahristan__Shahristān
AF.42.3306,'Unabah__‘Unābah
AF.42.3301,Bazarak__Bāzārak
AF.42.3302,Darah__Darah
AF.42.3303,Khinj__Khinj
AF.42.3304,Parian__Parīān
AF.42.3307,Rukhah__Rukhah
AF.42.3305,Shutul__Shutul
AF.13.101,Kabul__Kabul
AF.24.1401,Kunduz__Kunduz
AF.19.2204,Chakhansur__Chakhansur
AF.06.2101,Farah__Farah
AF.05.2801,Bamyan__Bamyan
AF.03.1301,Puli Khumri__Puli Khumri
AF.13.112,Surobi__Surobi
AF.28.2501,Qalat__Qalāt
AF.01.1104,Kuran Wa Munjan__Kuran Wa Munjan
AF.05.2802,Shibar__Shibar
AF.40.307,Surkhi Parsa__Surkhi Parsa
AF.10.2311,Garmsir__Garmsīr
AF.30.1602,Nahri Shahi__Nahri Shahi
AF.30.1609,Sholgara__Sholgara
AF.27.405,Day Mirdad__Day Mirdad
AF.24.1404,Chahar Dara__Chahar Dara
AF.37.3203,Tani__Tani
AF.34.1015,Sirkanay__Sirkanay
AF.27.404,Markazi Bihsud__Markazi Bihsud
AF.27.408,Nirkh__Nirkh
AF.30.1601,Mazar-e Sharif__Mazār-e Sharīf
AF.11.2001,Herat District__Herat District
AF.10.2306,Naw Zad__Naw Zad
AF.23.2401,Kandahar District__Kandahar District
AF.30.1606,Balkh District__Balkh District
AL.51.20,Rrethi i Sarandes__Rrethi i Sarandës
AL.51.30,Rrethi i Delvines__Rrethi i Delvinës
AL.47.26,Rrethi i Tropojes__Rrethi i Tropojës
AL.40.22,Rrethi i Skraparit__Rrethi i Skraparit
AL.49.19,Rrethi i Pukes__Rrethi i Pukës
AL.46.18,Rrethi i Pogradecit__Rrethi i Pogradecit
AL.45.17,Rrethi i Permetit__Rrethi i Përmetit
AL.48.16,Rrethi i Mirdites__Rrethi i Mirditës
AL.41.15,Rrethi i Matit__Rrethi i Matit
AL.47.11,Rrethi i Kukesit__Rrethi i Kukësit
AL.46.09,Rrethi i Korces__Rrethi i Korçës
AL.46.08,Rrethi i Kolonjes__Rrethi i Kolonjës
AL.43.07,Rrethi i Gramshit__Rrethi i Gramshit
AL.45.06,Rrethi i Gjirokastres__Rrethi i Gjirokastrës
AL.43.04,Rrethi i Elbasanit__Rrethi i Elbasanit
AL.41.02,Rrethi i Dibres__Rrethi i Dibrës
AL.40.01,Rrethi i Beratit__Rrethi i Beratit
AL.47.32,Rrethi i Hasit__Rrethi i Hasit
AL.41.29,Rrethi i Bulqizes__Rrethi i Bulqizës
AL.46.31,Rrethi i Devollit__Rrethi i Devollit
AL.51.27,Rrethi i Vlores__Rrethi i Vlorës
AL.50.28,Rrethi i Tiranes__Rrethi i Tiranës
AL.45.23,Rrethi i Tepelenes__Rrethi i Tepelenës
AL.49.21,Rrethi i Shkodres__Rrethi i Shkodrës
AL.44.14,Rrethi i Lushnjes__Rrethi i Lushnjës
AL.48.12,Lezhe__Lezhë
AL.42.10,Rrethi i Krujes__Rrethi i Krujës
AL.44.05,Fier__Fier
AL.42.03,Durres__Durres
AL.50.33,Rrethi i Kavajes__Rrethi i Kavajës
AL.40.34,Rrethi i Kucoves__Rrethi i Kuçovës
AL.48.35,Rrethi i Kurbinit__Rrethi i Kurbinit
AL.44.37,Rrethi i Mallakastres__Rrethi i Mallakastrës
AL.49.36,Rrethi i Malesia e Madhe__Rrethi i Malësia e Madhe
AL.43.38,Rrethi i Peqinit__Rrethi i Peqinit
AL.40.10944368,Bashkia Berat__Bashkia Berat
AL.40.10944369,Bashkia Kucove__Bashkia Kuçovë
AL.40.10944370,Bashkia Polican__Bashkia Poliçan
AL.40.10944371,Bashkia Skrapar__Bashkia Skrapar
AL.40.10944372,Bashkia Ura Vajgurore__Bashkia Ura Vajgurore
AL.41.10944373,Bashkia Bulqize__Bashkia Bulqizë
AL.41.10944374,Bashkia Diber__Bashkia Dibër
AL.41.10944375,Bashkia Klos__Bashkia Klos
AL.41.10944376,Bashkia Mat__Bashkia Mat
AL.42.10944377,Bashkia Durres__Bashkia Durrës
AL.42.10944378,Bashkia Kruje__Bashkia Krujë
AL.42.10944379,Bashkia Shijak__Bashkia Shijak
AL.43.10944380,Bashkia Elbasan__Bashkia Elbasan
AL.43.10944381,Bashkia Belsh__Bashkia Belsh
AL.43.10944382,Bashkia Cerrik__Bashkia Cërrik
AL.43.10944383,Bashkia Gramsh__Bashkia Gramsh
AL.43.10944384,Bashkia Librazhd__Bashkia Librazhd
AL.43.10944385,Bashkia Peqin__Bashkia Peqin
AL.43.10944386,Bashkia Prrenjas__Bashkia Prrenjas
AL.44.10944387,Bashkia Divjake__Bashkia Divjakë
AL.44.10944388,Bashkia Fier__Bashkia Fier
AL.44.10944390,Bashkia Mallakaster__Bashkia Mallakastër
AL.44.10944391,Bashkia Patos__Bashkia Patos
AL.44.10944392,Bashkia Roskovec__Bashkia Roskovec
AL.45.10944393,Bashkia Dropull__Bashkia Dropull
AL.45.10944394,Bashkia Gjirokaster__Bashkia Gjirokastër
AL.45.10944395,Bashkia Kelcyre__Bashkia Kelcyrë
AL.45.10944396,Bashkia Libohove__Bashkia Libohovë
AL.45.10944397,Bashkia Memaliaj__Bashkia Memaliaj
AL.45.10944398,Bashkia Permet__Bashkia Përmet
AL.45.10944399,Bashkia Tepelene__Bashkia Tepelenë
AL.46.10944400,Bashkia Devoll__Bashkia Devoll
AL.46.10944401,Bashkia Kolonje__Bashkia Kolonjë
AL.46.10944402,Bashkia Korce__Bashkia Korçë
AL.46.10944403,Bashkia Maliq__Bashkia Maliq
AL.46.10944404,Bashkia Pogradec__Bashkia Pogradec
AL.46.10944405,Bashkia Pustec__Bashkia Pustec
AL.47.10944406,Bashkia Has__Bashkia Has
AL.47.10944407,Bashkia Kukes__Bashkia Kukës
AL.47.10944408,Bashkia Tropoje__Bashkia Tropojë
AL.48.10944409,Bashkia Kurbin__Bashkia Kurbin
AL.48.10944410,Bashkia Lezhe__Bashkia Lezhë
AL.48.10944411,Bashkia Mirdite__Bashkia Mirditë
AL.49.10944412,Bashkia Fushe Arres__Bashkia Fushë Arrës
AL.49.10944413,Bashkia Malesi e Madhe__Bashkia Malësi e Madhe
AL.49.10944414,Bashkia Puke__Bashkia Pukë
AL.49.10944415,Bashkia Shkoder__Bashkia Shkodër
AL.49.10944416,Bashkia Vau i Dejes__Bashkia Vau i Dejës
AL.50.10944417,Bashkia Kamez__Bashkia Kamëz
AL.50.10944418,Bashkia Kavaje__Bashkia Kavajë
AL.50.10944419,Bashkia Rrogozhine__Bashkia Rrogozhinë
AL.50.10944420,Bashkia Tirane__Bashkia Tiranë
AL.50.10944421,Bashkia Vore__Bashkia Vorë
AL.51.10944422,Bashkia Delvine__Bashkia Delvinë
AL.51.10944423,Bashkia Finiq__Bashkia Finiq
AL.51.10944424,Bashkia Himare__Bashkia Himarë
AL.51.10944425,Bashkia Konispol__Bashkia Konispol
AL.51.10944426,Bashkia Sarande__Bashkia Sarandë
AL.51.10944427,Bashkia Selenice__Bashkia Selenicë
AL.51.10944428,Bashkia Vlore__Bashkia Vlorë
AM.08.174761,Sisian__Sisian
AM.10.174959,Vayk'i Shrjan__Vayk'i Shrjan
AM.11.616200,Spandaryanskiy Rayon__Spandaryanskiy Rayon
AM.11.616205,Arabkir__Arabkir
AM.11.616233,Shaumyanskiy Rayon__Shaumyanskiy Rayon
AM.11.616323,Ordzhonikidzevskiy Rayon__Ordzhonikidzevskiy Rayon
AM.04.616436,Martuni__Martuni
AM.11.616485,Leninskiy Rayon__Leninskiy Rayon
AM.11.616624,Imeni Dvadtsati Shesti Komissarov Rayon__Imeni Dvadtsati Shesti Komissarov Rayon
AM.01.7874001,Achtarak__Achtarak
AO.18.145530,Saurimo__Saurimo
AO.17.145723,Lucapa__Lucapa
AO.17.145775,Chitato__Chitato
AO.17.145897,Cambulo__Cambulo
AO.04.875819,Rivungo__Rivungo
AO.18.875968,Muconda__Muconda
AO.14.875997,Luena__Luena
AO.04.876017,Mavinga__Mavinga
AO.14.876125,Cameia__Cameia
AO.14.876129,Bundas__Bundas
AO.14.876176,Luau__Luau
AO.14.876198,Luacano__Luacano
AO.14.876232,Leua__Léua
AO.04.876291,Dirico__Dirico
AO.18.876307,Dala__Dala
AO.14.876631,Camanongue__Camanongue
AO.14.876723,Alto Zambeze__Alto Zambeze
AO.17.2236396,Xa-Muteba__Xá-Muteba
AO.20.2236499,Viana__Viana
AO.15.2236567,Uige Municipality__Uige Municipality
AO.16.2236714,Tomboco__Tomboco
AO.16.2236966,Soyo__Soyo
AO.15.2236985,Songo__Songo
AO.15.2237127,Sanza Pombo__Sanza Pombo
AO.15.2237144,Santa Cruz__Santa Cruz
AO.15.2237499,Quitexe Municipality__Quitexe Municipality
AO.15.2238174,Quimbele__Quimbele
AO.05.2238485,Quiculungo__Quiculungo
AO.20.2238564,Quissama__Quissama
AO.12.2238814,Quela__Quela
AO.15.2238826,Puri__Puri
AO.19.2238950,Municipio Pango Aluquem__Município Pango Aluquém
AO.16.2239000,Nzeto__Nzeto
AO.16.2239019,Noqui__Nóqui
AO.15.2239067,Negage Municipality__Negage Municipality
AO.19.2239093,Nambuangongo Municipality__Nambuangongo Municipality
AO.12.2239335,Caculama__Caculama
AO.15.2239352,Mucaba__Mucaba
AO.16.2239519,Mbanza Congo__Mbanza Congo
AO.12.2239696,Massango__Massango
AO.12.2239711,Marimba__Marimba
AO.15.2239731,Maquela do Zombo__Maquela do Zombo
AO.12.2239859,Malanje Municipality__Malanje Municipality
AO.05.2240384,Lucala__Lucala
AO.17.2240415,Lubalo__Lubalo
AO.20.2240445,Luanda Municipality__Luanda Municipality
AO.03.2240660,Cacongo__Cacongo
AO.12.2240685,Cunda-Dia-Baze__Cunda-Dia-Baze
AO.12.2240688,Kiwaba Nzoji__Kiwaba Nzoji
AO.20.2240756,Icolo e Bengo__Icolo e Bengo
AO.05.2240905,Ngonguembo__Ngonguembo
AO.05.2240974,Golungo Alto__Golungo Alto
AO.19.2241454,Dembos__Dembos
AO.19.2241484,Dande Municipality__Dande Municipality
AO.15.2241498,Damba__Damba
AO.16.2241620,Cuimba__Cuimba
AO.17.2241628,Cuilo__Cuilo
AO.17.2241665,Cuango__Cuango
AO.05.2241967,Cazengo Municipality__Cazengo Municipality
AO.17.2242051,Caungula__Caungula
AO.17.2242427,Capenda Camulemba__Capenda Camulemba
AO.12.2242475,Cahombo__Cahombo
AO.05.2242801,Cambambe__Cambambe
AO.12.2242997,Calandula__Calandula
AO.12.2243120,Cacuso__Cacuso
AO.20.2243171,Cacuaco Municipality__Cacuaco Municipality
AO.03.2243267,Cabinda__Cabinda
